MOLECULE_NAME,SMILES,Dielectric_Constant
tri-n-butyl_phosphate,CCCCO[P](=O)(OCCCC)OCCCC,4.5
phenyl_butanoate,CCCC(=O)Oc1ccccc1,4.48
isobutylamine,CC(C)CN,4.4
isobutyl_isobutyrate,CC(C)COC(=O)C(C)C,4.39
1-hexanethiol,CCCCCCS,4.34
ethyl_ether,CCOCC,4.34
ethylether,CCOCC,4.34
ether,CCOCC,4.335
tert-butylamine,CC(C)(C)N,4.31
anisol,COc1ccccc1,4.3
anisole,COc1ccccc1,4.3
benzylethylamine,NCCCc1ccccc1,4.3
c2h5–o–c2h5,CCO,4.3
diethyl_ether,CCOCC,4.3
diethylether,CCOCC,4.3
mox,CO[C@](NC(=O)[C@@H](C(O)=O)c1ccc(O)cc1)([C@H]2OCC(=C)C(=N2)C(O)=O)C(O)=O,4.3
phenyl_pentanoate,CCCCC(=O)Oc1ccccc1,4.3
thiophenol,Sc1ccccc1,4.2728
dee,CCOC(=O)c1c(C)[nH]nc1C,4.27
4-vinylphenol,Oc1ccc(C=C)cc1,4.25
c2h5oc2h5,CCO,4.24
di-ethyl_ether,CCOCC,4.24
tcnq,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,4.23
ethyloctanoate,CCCCCCCC(=O)OCC,4.2
tris2-butoxy_ethylphosphate,CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC,4.2
ethyl_phenyl_ether,CCOc1ccccc1,4.18
acetate,CC([O-])=O,4.17
1-tetradecanol,CCCCCCCCCCCCCCO,4.16
1-heptanethiol,CCCCCCCS,4.11
benzyl_salicylate,Oc1ccccc1C(=O)OCc2ccccc2,4.1
butylhexanoate,CCCCCC(=O)OCCCC,4.1
n-hexylamine,CCCCCCN,4.1
pcb,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,4.1
sinapic_acid,COc1cc(/C=C/C(O)=O)cc(OC)c1O,4.1
dioctyl_sebacate,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,4.01
dbe,COC(=O)CCCCC(=O)OC.COC(=O)CCCC(=O)OC.COC(=O)CCC(=O)OC,4
dibenzylether,C(OCc1ccccc1)c2ccccc2,4
dodecan-4-ol,CCCCCCCCC(O)CCC,4
fluorescein,Oc1ccc2c(Oc3cc(O)ccc3C24OC(=O)c5ccccc45)c1,4
premix,[Cl-].C[N+](C)(C)CCCl,4
salvinorin_a,COC(=O)C1CC(OC(C)=O)C(=O)[C@H]2C1(C)CC[C@H]3C(=O)O[C@@H](CC23C)c4cocc4,4
sulfoxide,CCCCCCCC[S](=O)C(C)Cc1ccc2OCOc2c1,4
methylanisole,COc1ccccc1C,3.99
ep,C[C@H]1CCC[C@H]2O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(C)=C\c3csc(C)n3,3.98
1-octanethiol,CCCCCCCCS,3.95
pema,O.CCC(C(N)=O)(C(N)=O)c1ccccc1,3.925
n-benzyl-2-methyl-4-nitroaniline,Cc1cc(ccc1NCc2ccccc2)[N+]([O-])=O,3.902
doa,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,3.9
dpe,ClC(Cl)(Cl)C(c1ccccc1)c2ccccc2,3.9
isopropyl_ether,CC(C)OC(C)C,3.9
pentacene,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,3.9
tbc,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O,3.895
benzyl_ether,C(OCc1ccccc1)c2ccccc2,3.86
isopropylether,CC(C)OC(C)C,3.845
1-decanethiol,CCCCCCCCCCS,3.84
tetraline,C1CCc2ccccc2C1,3.83
dibenzyl_ether,C(OCc1ccccc1)c2ccccc2,3.821
diphenyl_ether,O(c1ccccc1)c2ccccc2,3.813
diisopropylether,CC(C)OC(C)C,3.81
oleyl_alcohol,CCCCCCCC\C=C/CCCCCCCCO,3.8
dio,C1COCCO1,3.75
butyl_phenyl_ether,CCCCOc1ccccc1,3.734
diphenylether,O(c1ccccc1)c2ccccc2,3.73
1-pentadecanol,CCCCCCCCCCCCCCCO,3.72
acrylate_trimethylolpropane_triacrylate,CCC(CO)(CO)CO.OC(=O)C=C.OC(=O)C=C.OC(=O)C=C.OC(=O)C=C,3.71
1-chloro-n-hexadecane,CCCCCCCCCCCCCCCCCl,3.7
di-isopropyl_ether,CC(C)OC(C)C,3.7
epoxy_resin,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.OC(=O)C=C.ClCC3CO3,3.7
tpp,Cc1ncc(C[n+]2csc(CCO[P](O)(=O)O[P](O)(O)=O)c2C)c(N)n1,3.7
octylamine,CCCCCCCCN,3.69
tetracene,c1ccc2cc3cc4ccccc4cc3cc2c1,3.69
badge,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,3.6
butyl_ether,CCCCOCCCC,3.6
diethylamine,CCNCC,3.6
eicosylamine,CCCCCCCCCCCCCCCCCCCCN,3.6
pmda,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,3.6
poly4-vinylphenol,CCc1ccc(O)cc1,3.6
2-propanol–toluene,CC(C)O.Cc1ccccc1,3.59
diisopropyl_ether,CC(C)OC(C)C,3.59
n-octylamine,CCCCCCCCN,3.58
dibromoethane,CC(Br)Br,3.575
1-hexadecanol,CCCCCCCCCCCCCCCCO,3.56
bismaleimide,O=C1C=CC(=O)N1c2ccc(Cc3ccc(cc3)N4C(=O)C=CC4=O)cc2,3.55
1-hexanamine,CCCCCCN,3.53
perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,3.525
dea,OCCNCCO,3.52
2-methylamino-5-chlorobenzophenone,CNc1ccc(Cl)cc1C(=O)c2ccccc2,3.5
acrylonitrile_butadiene_styrene,C=CC=C.C=CC#N.C=Cc1ccccc1,3.5
atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,3.5
hydrazide,NNC(=O)c1ccncc1,3.5
lpa,OC(=O)CCCC[C@@H]1CCSS1,3.5
peceol,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)CO,3.5
pyromellitic_dianhydride,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,3.5
tuftsin,C[C@@H](O)[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(O)=O.CC(O)=O.CC(O)=O,3.5
dibenzylamine,C(NCc1ccccc1)c2ccccc2,3.446
1-heptylamine,CCCCCCCN,3.42
1_1_1_trichloroethane,CC(Cl)(Cl)Cl,3.4
1_1_2-trichloro-ethane,ClCC(Cl)Cl,3.4
behenic_acid,CCCCCCCCCCCCCCCCCCCCCC(O)=O,3.4
labrafil,CCCCCCCCCCCCCCCCCC(O)=O.CCCCCCCCCCCCCCCC(O)=O.OCCOCC(COCCO)OCCO,3.4
naphthalene,c1ccc2ccccc2c1,3.4
trichloroethane,CC(Cl)(Cl)Cl,3.4
din-propyl_ether,CCCOCCC,3.39
2_6-dichlorotoluene,Cc1c(Cl)cccc1Cl,3.36
dipropyl_ether,CCCOCCC,3.34
n-hexane–chloroform,CCCCCC.ClC(Cl)Cl,3.31
1-octanamine,CCCCCCCCN,3.3
diglycidyl_ether_of_bisphenol_a,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,3.3
phenyl_laurate,CCCCCCCCCCCC(=O)Oc1ccccc1,3.28
isopropyl_myristate,CCCCCCCCCCCCCC(=O)OC(C)C,3.245
dpa,c1ccc(cc1)c2c3ccccc3c(c4ccccc4)c5ccccc25,3.235
glycerol_trioleate,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,3.21
1-propanoic_acid,CCC(O)=O,3.2
chrysene,c1ccc2c(c1)ccc3c4ccccc4ccc23,3.2
octanethiol,CCCCCCCCS,3.2
phenyl,c1ccccc1,3.2
propanoic_acid,CCC(O)=O,3.2
triolein,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,3.2
apollo,Clc1ccccc1c2nnc(nn2)c3ccccc3Cl,3.18
ma,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,3.15
propionic_acid,CCC(O)=O,3.15
di-n-propylamine,CCCNCCC,3.13
glycerol_tripalmitate,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,3.12
dtab,[Br-].CCCCCCCCCCCC[N+](C)(C)C,3.115
dipentyl_ether,CCCCCOCCCCC,3.1
gma,N[C@H](CCC(O)=O)C(N)=O,3.1
oleylamine,CCCCCCCC\C=C/CCCCCCCCN,3.1
planum,CN1C(=O)C(O)N=C(c2ccccc2)c3cc(Cl)ccc13,3.1
polycarbonate,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,3.1
polysulphone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)[S](=O)(=O)c4ccc(O)cc4,3.1
dibutylether,CCCCOCCCC,3.08
ethyl_palmitate,CCCCCCCCCCCCCCCC(=O)OCC,3.07
dibutyl_ether,CCCCOCCCC,3.05
din-butyl_ether,CCCCOCCCC,3.05
fluorene,C1c2ccccc2c3ccccc13,3.05
2-methylimidazole,Cc1[nH]ccn1,3.04
1-heptanoic_acid,CCCCCCC(O)=O,3.03
9-methylanthracene,Cc1c2ccccc2cc3ccccc13,3.02
glycerol_tristearate,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,3.02
dansyl,CN(C)c1cccc2c1cccc2[S](Cl)(=O)=O,3
dipalmitoylphosphatidylcholine,CCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P]([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,3
ellagic_acid,Oc1cc2C(=O)Oc3c(O)c(O)cc4C(=O)Oc(c1O)c2c34,3
glutamic_acid,N[C@@H](CCC(O)=O)C(O)=O,3
mpd,C[C@H](O)CC(C)(C)O,3
plurol_oleique,OCC(O)CCCCCCCCC\C=C/CCCC(CC(O)CO)C(CC(O)CO)C(CC(O)CO)C(CC(O)CO)C(=O)OCC(O)CO,3
polycaprolactam,CCCCCC(N)=O,3
polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)[S](=O)(=O)c4ccc(O)cc4,3
tyrosine,N[C@@H](Cc1ccc(O)cc1)C(O)=O,3
salicylic_acid,OC(=O)c1ccccc1O,2.99
anthracene,c1ccc2cc3ccccc3cc2c1,2.975
dipropylamine,CCCNCCC,2.923
cyclopentadienone,O=C1C=CC=C1,2.9
ethyl_methyl_carbonate,CCOC(=O)OC,2.9
ethylmethyl_carbonate,CCCOC([O-])=O,2.9
methyl_ethyl_carbonate,CCOC(=O)OC,2.9
l-lysine,NCCCC[C@H](N)C(O)=O,2.89
1-butanoic_acid,CCCC(O)=O,2.88
octanoic_acid,CCCCCCCC(O)=O,2.85
1-methylnaphthalene,Cc1cccc2ccccc12,2.8475
1-hexanoic_acid,CCCCCC(O)=O,2.82
1-octanoic_acid,CCCCCCCC(O)=O,2.82
diethyl_carbonate,CCOC(=O)OCC,2.82
dec,C1CCC2CCCCC2C1,2.8125
acetaminophen,CC(=O)Nc1ccc(O)cc1,2.8
benzoxazole,o1cnc2ccccc12,2.8
diethylcarbonate,CCOC(=O)OCC,2.8
styrene-butadiene,C=CC=C.C=Cc1ccccc1,2.8
terpineol,CC(=C)C1CCC(C)(O)CC1.CC2=CCC(CC2)C(C)(C)O,2.8
tritolyl_phosphate,Cc1ccccc1O[P](=O)(Oc2ccccc2C)Oc3ccccc3C,2.78
mdea,CN(CCO)CCO,2.77
phthalic_anhydride,O=C1OC(=O)c2ccccc12,2.77
tetralin,C1CCc2ccccc2C1,2.77
din-pentyl_ether,CCCCCOCCCCC,2.73
tetrahydronaphthalene,C1CCc2ccccc2C1,2.73
thiophene,s1cccc1,2.727
bromodiphenylmethane,BrC(c1ccccc1)c2ccccc2,2.71
dimethyl,CC,2.7
dmm,CC(CCC(C)O[S](C)(=O)=O)O[S](C)(=O)=O,2.7
isoprene,CC(=C)C=C,2.7
pentanoic_acid,CCCCC(O)=O,2.69
msq,COc1cc2ncnc(Nc3cccc(SC)c3)c2cc1OC,2.675
cyanine,[Cl-].Nc1ccc2nc3ccc(N)cc3[s+]c2c1,2.67
propylamine,CCCN,2.6675
1-pentanoic_acid,CCCCC(O)=O,2.66
valeric_acid,CCCCC(O)=O,2.66
vinyon,CC(=O)OC=C.ClC=C,2.65
propylene,CC=C,2.64
allylbenzene,C=CCc1ccccc1,2.63
benzocyclobutene,C1Cc2ccccc12,2.625
benzocyclobutane,C1Cc2ccccc12,2.61
mpmp,CN1CCCC(C1)CN2c3ccccc3Sc4ccccc24,2.61
1_3-diisopropenyl_benzene,CC(=C)c1cccc(c1)C(C)=C,2.6
ascorbic_acid,OCC(O)C1OC(=C(O)C1=O)O,2.6
ddt,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,2.6
diamantane,C1C2CC3C4CC5CC(C14)C(C2)C3C5,2.6
isobutyric_acid,CC(C)C(O)=O,2.6
polystyrene,C=Cc1ccccc1,2.6
squalene,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,2.6
trioctylphosphine_oxide,CCCCCCCC[P](=O)(CCCCCCCC)CCCCCCCC,2.6
heptanoic_acid,CCCCCCC(O)=O,2.59
o-xylene,Cc1ccccc1C,2.551
aldehyde,CC=O,2.55
l-asparagine,N[C@@H](CC(N)=O)C(O)=O,2.55
din,Oc1ccc2c(O)cccc2c1,2.54
adamantane,C1C2CC3CC1CC(C2)C3,2.53
biphenyl,c1ccc(cc1)c2ccccc2,2.525
arachidic_acid,CCCCCCCCCCCCCCCCCCCC(O)=O,2.5
dl-aspartic_acid,NC(CC(O)=O)C(O)=O,2.5
oleic_acid,CCCCCCCC\C=C/CCCCCCCC(O)=O,2.5
styrofoam,CC(C)c1ccccc1,2.5
ttc,[Cl-].c1ccc(cc1)n2nc(n[n+]2c3ccccc3)c4ccccc4,2.5
l-aspartic_acid,N[C@@H](CC(O)=O)C(O)=O,2.48
norbornane,C1CC2CCC1C2,2.48
styrene,C=Cc1ccccc1,2.47
ethylbenzene,CCc1ccccc1,2.4463
ethyl_benzene,CCc1ccccc1,2.446
hexamethylene_diamine,NCCCCCCN,2.42
tri-ethylamine,CCN(CC)CC,2.42
triethylamine,CCN(CC)CC,2.42
teta,NCCNCCNCCN,2.418
hydroxy-l-proline,ON1CCC[C@H]1C(O)=O,2.41
1_2-xylene,Cc1ccccc1C,2.4
cumene,CC(C)c1ccccc1,2.4
decanethiol,CCCCCCCCCCS,2.4
mbn,Cc1ccccc1,2.4
pseudocumene,Cc1ccc(C)c(C)c1,2.4
thymine,CC1=CNC(=O)NC1=O,2.4
tol,COc1ccc2c(cccc2c1C(F)(F)F)C(=S)N(C)CC(O)=O,2.4
triethyl_amine,CCN(CC)CC,2.4
nicotine,CN1CCC[C@H]1c2cccnc2,2.384
isopropylbenzene,CC(C)c1ccccc1,2.3805
1_2_4-trimethylbenzene,Cc1ccc(C)c(C)c1,2.38
l-proline,OC(=O)[C@@H]1CCCN1,2.38
methylbenzene,Cc1ccccc1,2.38
toluene,Cc1ccccc1,2.38
trimethylbenzene,Cc1cccc(C)c1C,2.38
propylbenzene,CCCc1ccccc1,2.37
diethylbenzene,CCc1ccccc1CC,2.369
1-tridecanol,CCCCCCCCCCCCCO,2.365
d-limonene,CC(=C)C1CCC(=CC1)C,2.36
m-xylene,Cc1cccc(C)c1,2.36
propyl_benzene,CCCc1ccccc1,2.36
butylbenzene,CCCCc1ccccc1,2.359
tert-butyl_benzene,CC(C)(C)c1ccccc1,2.359
p-cymene,CC(C)c1ccc(C)cc1,2.34
phenethylammonium,[NH3+]CCc1ccccc1,2.34
limonene,CC(=C)C1CCC(=CC1)C,2.3373
xylenes,CCc1ccccc1.Cc2ccc(C)cc2.Cc3cccc(C)c3.Cc4ccccc4C,2.325
isobutylbenzene,CC(C)Cc1ccccc1,2.318
nylon_6,CCCCCC(N)=O,2.3
dda,Nc1ncnc2n(cnc12)[C@H]3CC[C@@H](CO)O3,2.295
4-ma,CCN(CC)C(=O)[C@H]1CCC2C3CC[C@H]4N(C)C(=O)CCC4(C)C3CCC12C,2.29
perhydrofluorene,C1CCC2C(C1)CC3CCCCC23,2.281
benzene,c1ccccc1,2.28
isopropenylbenzene,CC(=C)c1ccccc1,2.28
xylene,Cc1ccccc1C,2.28
mesitylene,Cc1cc(C)cc(C)c1,2.2795
1_3_5-trimethylbenzene,Cc1cc(C)cc(C)c1,2.279
p-xylene,Cc1ccc(C)cc1,2.27
1-phenyloctane,CCCCCCCCc1ccccc1,2.26
octylbenzene,CCCCCCCCc1ccccc1,2.26
phenyloctane,CCCCCCCCc1ccccc1,2.26
polyisobutylene,CC(C)=C,2.25
1_2_4-trichlorobenzene,Clc1ccc(Cl)c(Cl)c1,2.24
dimethyladamantane,CC1C2CC3CC(C2)CC1(C)C3,2.212
1_4-dioxan,C1COCCO1,2.21
1_4-dioxane,C1COCCO1,2.21
cis-decalin,C1CC[C@@H]2CCCC[C@@H]2C1,2.21
dioxane,C1COCCO1,2.21
dmo,CC1(C)OC(=O)NC1=O,2.21
p-dioxane,C1COCCO1,2.21
decalin,C1CCC2CCCCC2C1,2.2
decaline,C1CCC2CCCCC2C1,2.2
diacetamide,CC(=O)NC(C)=O,2.2
dph,C[C@@H](Cc1ccccc1)C(N)=O,2.2
n-pentadecane,CCCCCCCCCCCCCCC,2.2
tcd,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,2.2
trans-decalin,C1CC[C@@H]2CCCC[C@H]2C1,2.2
decahydronaphthalene,C1CCC2CCCCC2C1,2.197
cyclodecane,C1CCCCCCCCC1,2.191
cyclohexene,C1CCC=CC1,2.188
padma,COC(Cc1ccccc1)OC,2.18
n-octanoic_acid,CCCCCCCC(O)=O,2.17
cyclooctene,C1CCCC=CCC1,2.163
dhn,[Na+].CC(=O)[C-]1C(=O)OC(=CC1=O)C,2.154
1-eicosanol,CCCCCCCCCCCCCCCCCCCCO,2.1456
cyclooctane,C1CCCCCCC1,2.12
pentol,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(CO)(CO)COC(=O)CCCCCCC\C=C\CCCCCCCC,2.12
mpa,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(C)\CCC(O)=O,2.102
bcn,OCCN(CCO)CC(O)=O,2.1
isohexadecane,CCCCCCCCCCCCCC(C)C,2.1
norbornene,C1CC2CC1C=C2,2.1
polypropylene,CC=C,2.1
trioctylamine,CCCCCCCCN(CCCCCCCC)CCCCCCCC,2.1
1-octene,CCCCCCC=C,2.081
undecane,CCCCCCCCCCC,2.07
heptadecane,CCCCCCCCCCCCCCCCC,2.06
n-hexadecane,CCCCCCCCCCCCCCCC,2.05
pentadecane,CCCCCCCCCCCCCCC,2.0445
n-tetradecan,CCCCCCCCCCCCCC,2.0368
mch,CC1=CC(=O)CCC1,2.03
tetradecane,CCCCCCCCCCCCCC,2.03
tridecane,CCCCCCCCCCCCC,2.03
cyclohexane,C1CCCCC1,2.02
methylcyclohexane,CC1CCCCC1,2.02
dodecane,CCCCCCCCCCCC,2.01
n-dodecane,CCCCCCCCCCCC,2.01
acetone–hexane,CCCCCC.CC(C)=O,2
arginine,N[C@@H](CCCNC(N)=N)C(O)=O,2
aspartic_acid,N[C@@H](CC(O)=O)C(O)=O,2
chx,C1CCCCC1,2
decane,CCCCCCCCCC,2
decanol_cyclohexane,CCCCCCCCCCO.C1CCCCC1,2
hexadecane,CCCCCCCCCCCCCCCC,2
iso-dodecane,CCCCCCCCCC(C)C,2
pco,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)N\C=C/S,2
phenazine,c1ccc2nc3ccccc3nc2c1,2
xylol,Cc1ccccc1C,2
nonane,CCCCCCCCC,1.99
n-decane,CCCCCCCCCC,1.985
i-decane,CCCCCCCC(C)C,1.98
linalool,CC(C)=CCCC(C)(O)C=C,1.98
isopentane,CCC(C)C,1.975
n-tetradecane,CCCCCCCCCCCCCC,1.975
n-nonane,CCCCCCCCC,1.972
cyclopentane,C1CCCC1,1.965
carbon_nitride,NCCN,1.95
octane,CCCCCCCC,1.95
2_2_4-trimethylpentane,CC(C)CC(C)(C)C,1.94
iso-octane,CCCCCC(C)C,1.94
isooctane,CCCCCC(C)C,1.94
ethane,CC,1.93
n-octane,CCCCCCCC,1.921
2-furoylfluoride_heptane,CCCCCCC.FC(=O)c1occc1,1.92
heptane,CCCCCCC,1.92
n-heptane,CCCCCCC,1.92
c2h6,CC,1.917
3-methylpentane,CCC(C)CC,1.9
heptan,CCCCCCC,1.9
hexane,CCCCCC,1.89
iso-hexane,CCCC(C)C,1.89
n-hexane,CCCCCC,1.89
phema,CC(=C)C(=O)OCCO,1.8845
hexane-methanol,CO.CCCCCC,1.88
hexanes,CCCCCC,1.88
polybutene,CCC=C.C\C=C\C,1.875
n-pentane,CCCCC,1.84
pentane,CCCCC,1.84
dioctylcyclohexane,CCCCCCCCC1(CCCCCCCC)CCCCC1,1.8
2_2-dimethylpropane,CC(C)(C)C,1.78
1-nonanoic_acid,CCCCCCCCC(O)=O,1.72
n-butane,CCCC,1.7
citral,CC(C)=CCCC(C)=CC=O,1.6
morin,Oc1ccc(c(O)c1)C2=C(O)C(=O)c3c(O)cc(O)cc3O2,1.6
prolate,CO[P](=S)(OC)SCN1C(=O)c2ccccc2C1=O,1.6
butanoic_acid,CCCC(O)=O,1.501
[methionine],CSCC[C@H](N)C(O)=O,1.5
propane,CCC,1.5
meo,COC1CCN(CC1)C2CC(OC(C)C2O)OC3c4c(O)c5C(=O)c6c(OC)cccc6C(=O)c5c(O)c4CCC3(O)C(C)=O,1.49285
ctc,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)\O)C1=O,1.4579
kaempferol,Oc1ccc(cc1)C2=C(O)C(=O)c3c(O)cc(O)cc3O2,1.385
spurr,CC(C)CC(C)/C=C/CC1CC(=O)OC1=O.C(COCC2CO2)COCC3CO3.C4CC5OC5CC4C6CO6,1.31
egmpe,OCCOc1ccccc1,1.264
rhodamine_6g,[Cl-].CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(c2cc1C)c4ccccc4C(=O)OCC,1.2
doxo,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,1.08
triphenylamine,c1ccc(cc1)N(c2ccccc2)c3ccccc3,1.05
dehp,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1
dfdt,Fc1ccc(cc1)C(c2ccc(F)cc2)C(Cl)(Cl)Cl,0.42
1_3-dibromopropane,BrCCCBr,0.345
