MOLECULE_NAME,SMILES,logEpsilon
proline,OC(=O)[C@@H]1CCCN1,2
terephthalic_acid,OC(=O)c1ccc(cc1)C(O)=O,2
cbn,ClCC#CCOC(=O)Nc1cccc(Cl)c1,1.986771734
at_1420,Cc1ccc(cc1C[C@H](N)C(O)=O)N(CCCl)CCCl,1.984527313
ethylene_carbonate,O=C1OCCO1,1.95230801
cyclopentene,C1CC=CC1,1.931966115
diisopropylammonium_bromide,[Br-].CC(C)[NH2+]C(C)C,1.929418926
tmb,Cc1cc(cc(C)c1N)c2cc(C)c(N)c(C)c2,1.905256049
scopoletin,COc1cc2C=CC(=O)Oc2cc1O,1.903957709
thc,CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1,1.903632516
ammp,COc1ccc(Cc2cc(N)nc(OC)n2)cc1,1.903089987
cysteine–arginine,N[C@@H](CS)C(O)=O.N[C@@H](CCCNC(N)=N)C(O)=O,1.903089987
phenolate,[O-]c1ccccc1,1.903089987
ron,CCC[C@H](N)C(O)=O,1.903089987
hepes,OCCN1CCN(CC1)CC[S](O)(=O)=O,1.897627091
histidine,N[C@@H](Cc1c[nH]cn1)C(O)=O,1.894869657
rhodamine,[Cl-].CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC,1.894869657
tabun,CCO[P](=O)(C#N)N(C)C,1.894316063
barone,[Na+].CN(C[S]([O-])(=O)=O)C1=C(C)N(C)N(C1=O)c2ccccc2,1.894260664
bicalutamide,CC(O)(C[S](=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,1.894260664
ketoconazole,CC(=O)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,1.894094427
4-ap,Nc1ccncc1,1.893761762
cyclone,O=C1C(=C(c2ccccc2)C(=C1c3ccccc3)c4ccccc4)c5ccccc5,1.892094603
n-methyl-oxazolidinone,CN1CCOC1=O,1.892094603
oxadiazole,o1ccnn1,1.892094603
thionine,s1cccccccc1,1.892094603
sodium_carboxymethyl_cellulose,[Na].CC(O)=O.OCC(O)C(O)C(O)C(O)C=O,1.890421019
tea,OCCN(CCO)CCO,1.890197386
3-methyloxazolidin-2-one,CN1CCOC1=O,1.889301703
dam,CC(=O)C(/C)=N/O,1.882922791
tam,NC(CCO)(CCO)CCO,1.882581454
2-methyl-2_4-pentanediol,CC(O)CC(C)(C)O,1.875061263
mai,C[C@@H](O)[C@@H](N)CCCN=C(N)N,1.875061263
maltose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,1.867968082
cerebro,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,1.861713588
trehalose,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1.857332496
dopamine,NCCc1ccc(O)c(O)c1,1.85672889
prc,Cc1ccc(NC(=O)c2cccnc2)cc1Nc3nccc(n3)c4cccnc4,1.838849091
gly,NCC(O)=O,1.829946696
butanamide,CCCC(N)=O,1.824503317
lysine,NCCCC[C@H](N)C(O)=O,1.819543936
brij_35,CCCCCCCCCCCCOCCO,1.812913357
propylene_carbonate,CC1COC(=O)O1,1.812378511
polyn-isopropylacrylamide,CC(C)NC(=O)C=C,1.799340549
defi,CCCN(CCC)C(=O)SCc1ccccc1,1.785329835
dimethylthianthrene,Cc1ccc2Sc3ccccc3Sc2c1C,1.77815125
quinoxaline,c1ccc2nccnc2c1,1.77815125
acetamide,CC(N)=O,1.770852012
pyridazine,c1ccnnc1,1.769007871
4_pa,OC(=O)CCC=C,1.767155866
spirolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,1.755874856
mea,NCCS,1.740678425
nile_red,CCN(CC)c1ccc2N=C3C(=CC(=O)c4ccccc34)Oc2c1,1.740362689
1_2-butylene_carbonate,CCC1COC(=O)O1,1.735997884
butylene_carbonate,O=C1OCCCCO1,1.72427587
tz,s1ccnc1,1.72427587
dhap,OCC(=O)CO[P](O)(O)=O,1.721810615
lno,CC(C)C[C@H](N)C(=O)NO,1.720159303
alamine_336,CCCCCCCCN(CCCCCCCC)CCCCCCCC,1.703755524
2-fluorophenyl2-nitrophenyl_ether,[O-][N+](=O)c1c(Oc2cccc(c3ccccc3F)c2[N+]([O-])=O)cccc1c4ccccc4F,1.698970004
2-fluorophenyl_2-nitrophenyl_ether,[O-][N+](=O)c1ccccc1Oc2ccccc2F,1.698970004
tetraethylammonium_tetrafluoroborate,CC[N+](CC)(CC)CC.F[B-](F)(F)F,1.698970004
desal,N[S](=O)(=O)c1cc(C(O)=O)c(NCc2occc2)cc1Cl,1.67669361
2-furoylfluoride_dimethylsulfoxide,C[S](C)=O.FC(=O)c1occc1,1.669316881
abt,Nn1nnc2ccccc12,1.667452953
ald,CC(C)C[C@@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,1.667452953
diclofenac_sodium,[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,1.662757832
sulfolan,O=[S]1(=O)CCCC1,1.639984248
diethanolamine,OCCNCCO,1.638988159
di-n-propylammonium_thiocyanate,CCC[NH2+]CCC.[S-]C#N,1.636487896
sulfolane,O=[S]1(=O)CCCC1,1.636487896
sulpholane,O=[S]1(=O)CCCC1,1.636487896
ethylene_glycerol,OCC(O)CO.C=C,1.62838893
glycerine,OCC(O)CO,1.62838893
glycerol,OCC(O)CO,1.62838893
carboxylate,CCCCCCCCCC1C[C@@H]2CC[C@H]3[C@H]([C@@H](C)N=C(N1)N23)C(=O)OC(C)CCCCC[C@@H]4C[C@@H]5CC[C@H]6C[C@@H](C)NC(=N4)N56,1.623352682
aa267,NC(CCO)c1ccc2ccccc2c1,1.62324929
eg,OCCO,1.617000341
ethylenglycol,OCCO,1.617000341
glycol,OCCO,1.614897216
2-oxazolidinone,O=C1NCCO1,1.612783857
ethyl_pyruvate,CCOC(=O)C(C)=O,1.612783857
furfural,O=Cc1occc1,1.612783857
ethane-1_2-diol,OCCO,1.609594409
1_2_3-triazole,[nH]1ccnn1,1.607455023
tetraethyleneglycol,OCCOCCOCCOCCO,1.604226053
meg,[Br-].NC([NH3+])=NCCS,1.60260252
1-butyl-3-methylimidazolium,CCCC[n+]1ccn(C)c1,1.602059991
stilbene,c1ccc(cc1)C=Cc2ccccc2,1.602059991
butyrolactone,O=C1CCCO1,1.60184279
gbl,O=C1CCCO1,1.591064607
ethane-1_2_diol,OCCO,1.58726185
ethyleneglycol,OCCO,1.583595468
1_2-ethanediol,OCCO,1.57634135
ethylene_glycol,OCCO,1.57634135
mono_ethylene_glycol,OCCO,1.57634135
dmi,CNCCCN1c2ccccc2CCc3ccccc13,1.575187845
acetonitril,CC#N,1.574031268
ethanenitrile,CC#N,1.574031268
mecn,CC#N,1.574031268
lys,NCCCCC(N)C(O)=O,1.573451822
edta,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,1.57054294
ch3cn,CCN,1.568201724
glutaronitrile,N#CCCCC#N,1.568201724
triethyleneglycol,OCCOCCOCCO,1.564666064
acetonitrile,CC#N,1.563955465
acn,CC#N,1.563955465
dmpu,OCN1CCCN(CO)C1=O,1.557507202
sec-butylammonium_thiocyanate,CCC(C)[NH3+].[S-]C#N,1.557507202
cyclohexane_acetone,CC(C)=O.C1CCCCC1,1.556314564
3-methoxy-propionitrile,COCCC#N,1.556302501
3-methoxypropionitrile,COCCC#N,1.556302501
abts,[NH4+].[NH4+].CCN1/C(Sc2cc(ccc12)[S]([O-])(=O)=O)=N/N=C/3Sc4cc(ccc4N3CC)[S]([O-])(=O)=O,1.556302501
cetylpyridinium_chloride,[Cl-].CCCCCCCCCCCCCCCC[n+]1ccccc1,1.556302501
citric_acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,1.556302501
gga,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CCC(C)=O,1.556302501
methoxyacetonitrile,COCC#N,1.556302501
1_4-dihydroxy-2-butanone,OCCC(=O)CO,1.551327988
1_3-propanediol,OCCCO,1.544068044
4am,CC(=O)N[C@@H]1[C@@H](N)C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,1.544068044
nitrobenzene,[O-][N+](=O)c1ccccc1,1.541579244
propane-1_3-diol,OCCCO,1.5402043
1-naphthol,Oc1cccc2ccccc12,1.535420718
ethylammonium_formate,CC[NH3+].[O-]C=O,1.533263517
1_2_3-butanetriol,CC(O)C(O)CO,1.532754379
diglycerol,OCC(O)COCC(O)CO,1.531478917
butylammonium_thiocyanate,CCCC[NH3+].[S-]C#N,1.530199698
2-pyrrolidon,O=C1CCCN1,1.527629901
1_3-propylene_glycol,OCCCO,1.527372083
1-methylimidazole,Cn1ccnc1,1.523746467
1_3_5-pentanetriol,OCCC(O)CCO,1.523226042
acrylonitrile,C=CC#N,1.51851394
ethylene_glycol–methanol,CO.OCCO,1.51851394
meth,[H+].[Cl-].CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,1.514547753
n-methyl-2-pyrrolidinone,CN1CCCC1=O,1.514547753
2-furoylfluoride_methanol,CO.FC(=O)c1occc1,1.513617074
n-methyl-2-pyrrolidone,CN1CCCC1=O,1.507855872
n-methyl-pyrrolidone,CN1CCCC1=O,1.507855872
n-methyl_pyrrolidone,CN1CCCC1=O,1.507855872
n-methylpyrrolidone,CN1CCCC1=O,1.506505032
1-methyl-2-pyrrolidinone,CN1CCCC1=O,1.505149978
n-methylpyrrolidinone,CN1CCCC1=O,1.505149978
propanediol,CCC(O)O,1.505149978
propylene_glycol,CC(O)CO,1.505149978
butane-1_4-diol,OCCCCO,1.502700175
dma,CC(C)=CCO[P](O)(=O)O[P](O)(O)=O,1.501983039
diethylene_glycol,OCCOCCO,1.501059262
diethyleneglycol,OCCOCCO,1.501059262
deg,OCCOCCO,1.500922239
1_4-butanediol,OCCCCO,1.496929648
dmpg,CCCCCCCCCCCCCC(=O)OCC(CO[P](O)(=O)OCC(O)CO)OC(=O)CCCCCCCCCCCCC,1.485721426
butanediol,CCCC(O)O,1.480006943
1_2-butanediol,CCC(O)CO,1.477121255
adiponitrile,N#CCCCCC#N,1.477121255
and,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,1.477121255
zst,OC(=O)CC1=NN(Cc2sc3ccc(cc3n2)C(F)(F)F)C(=O)c4ccccc14,1.474216264
1_2-propanediol,CC(O)CO,1.47348697
propanenitrile,CCC#N,1.467163966
propanonitrile,CCC#N,1.464638559
tes,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,1.462397998
butane-1_3-diol,CC(O)CCO,1.459844642
1_3-butanediol,CC(O)CCO,1.458562313
2ap,Nc1cccc[nH+]1,1.456441952
propane-1_2-diol,CC(O)CO,1.452706227
ethyl_cyanide,CCC#N,1.451786436
propionitrile,CCC#N,1.451172158
nitroethanol,CC(O)[N+]([O-])=O,1.448087667
nitroethane,CC[N+]([O-])=O,1.447158031
propiononitrile,CCC#N,1.434568904
pentane-1_5-diol,OCCCCCO,1.42975228
dehydrated_alcohol,CCO,1.428134794
2_2_2-trifluoroethanol,OCC(F)(F)F,1.426933964
tfe,OCC(F)(F)F,1.426511261
cf3ch2oh,OCC(F)(F)F,1.416640507
ch3och2ch2oh,COCCO,1.412292509
2-chloroethanol,OCCCl,1.411619706
2-nitropropane,CC(C)[N+]([O-])=O,1.409933123
acetylacetone,CC(=O)CC(C)=O,1.409933123
alcohol,CCO,1.409933123
2oh,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,1.403120521
benzonitrile,N#Cc1ccccc1,1.401400541
2-mbt,S=C1Nc2ccccc2S1,1.397940009
methanol-toluene,CO.Cc1ccccc1,1.397940009
methyl_oleate,CCCCCCCC\C=C/CCCCCCCC(=O)OC,1.397940009
water-tert-butanol,O.CC(C)(C)O,1.397940009
water-tetrahydrofuran,O.C1CCOC1,1.397940009
butyronitrile,CCCC#N,1.394451681
dcs,Cc1ncc(CO[P](O)(O)=O)c(CN[C@@H]2CONC2=O)c1O,1.394451681
2-furoylfluoride_ethanol,CCO.FC(=O)c1occc1,1.390051496
c2h5oh,CCO,1.390051496
ch3ch2oh,CCO,1.390051496
curcumin,COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O,1.389166084
ethanol,CCO,1.389166084
ethyl_alcohol,CCO,1.389166084
etoh,CCO,1.389166084
ch3ch2–oh,CCO,1.385606274
butanenitrile,CCCC#N,1.385427515
n-propyl_cyanide,CCCC#N,1.383815366
2-nitrophenyl_octyl_ether,CCCCCCCCOc1ccccc1[N+]([O-])=O,1.380211242
2-nitrophenyl_octylether,CCCCCCCCOc1ccccc1[N+]([O-])=O,1.380211242
2-nitrophenyl_pentylether,CCCCCOc1ccccc1[N+]([O-])=O,1.380211242
ate,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2,1.380211242
epa,CC/C=C\C\C=C/C/C=C\C\C=C/C/C=C\CCCC(O)=O,1.380211242
pyridine_nitrogen,[NH2].c1ccncc1,1.380211242
tbph,[OH-].CCCC[P+](CCCC)(CCCC)CCCC,1.380211242
triethylene_glycol,OCCOCCOCCO,1.374748346
nitropropane,CCC[N+]([O-])=O,1.365487985
o-fluoropyridine,Fc1ccccn1,1.365487985
benzyl_cyanide,N#CCc1ccccc1,1.358886204
benzoyl_fluoride,FC(=O)c1ccccc1,1.356025857
2-furoylfluoride,FC(=O)c1occc1,1.354588588
ech,ClCC1CO1,1.354108439
butane-1_2-diol,CCC(O)CO,1.353531559
acan,CC(=O)CCC(C)=O,1.351216345
3-nitrotoluene,Cc1cccc(c1)[N+]([O-])=O,1.346352974
pyrite,[O-]CC1OC=CC=C1,1.332842267
2_3-butanediol,CC(O)C(C)O,1.332377856
[iso-leucine],CC[C@H](C)[C@H](N)C(O)=O,1.331022171
dmk,CC(C)([C@H](N)C(O)=O)C(O)=O,1.322426052
acetaldehyde,CC=O,1.322219295
acetic_anhydride,CC(=O)OC(C)=O,1.322219295
aco,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)n2cnc3c(N)ncnc23,1.322219295
allyl_alcohol,OCC=C,1.322219295
dipropylene_glycol,CC(O)COC(C)CO,1.322219295
flavin,[Cl-].C[n+]1c2cc(N)ccc2cc3ccc(N)cc13,1.322219295
griseofulvin,COC1CC(=O)C[C@@H](C)[C@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O,1.322219295
propanone,CC(C)=O,1.322219295
butane-2_3-diol,CC(O)C(C)O,1.319730494
n-propyl_alcohol,CCCO,1.31827208
dimethyl_ketone,CC(C)=O,1.316389751
2-furoylfluoride_acetone,CC(C)=O.FC(=O)c1occc1,1.315970345
2-propanone,CC(C)=O,1.315970345
acetone,CC(C)=O,1.315970345
isopropanal,CC(C)=O,1.31386722
isobutyronitrile,CC(C)C#N,1.309630167
n-butyronitrile,CCCC#N,1.309630167
propan-1-ol,CCCO,1.307496038
propanol,CCCO,1.307496038
triethanolamine,OCCN(CCO)CCO,1.306639441
cst,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)N[C@@H](Cc1ccccc1)C(O)=O)[C@@H]2CCN=C(N)N2)C(=O)N[C@@H](Cc3ccccc3)C([O-])=O,1.306425028
ioh,CC(C)O,1.304921162
indole,[nH]1ccc2ccccc12,1.303843775
1-propanol,CCCO,1.303196057
ch3ch2ch2–oh,CCCO,1.303196057
n-propanol,CCCO,1.303196057
act,CC(O)=O,1.301029996
alcohols,CCO,1.301029996
alkane,CCCCCCCCCCCCc1ccccc1,1.301029996
dcip,O.[Na+].[O-]c1c(Cl)cc(cc1Cl)N=C2C=CC(=O)C=C2,1.301029996
pentanenitrile,CCCCC#N,1.301029996
propyl-alcohol,CCCO,1.301029996
retinal,CC(=C\C=O)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,1.301029996
sodium_acetate,[Na+].CC([O-])=O,1.301029996
tetraethylene_glycol,OCCOCCOCCOCCO,1.29907126
2-propanol,CC(C)O,1.298853076
propan-2-ol,CC(C)O,1.298853076
teg,OCCOCCOCCO,1.292909237
ethyl_isothiocyanate,CCN=C=S,1.290034611
lactic_acid,CC(O)C(O)=O,1.28780173
isopropyl-alcohol,CC(C)O,1.282168778
ethyl_acetate-acetonitrile,CCOC(C)=O.CC#N,1.280350693
isooctane-ethyl_acetate,CCCCCC(C)C.CCOC(C)=O,1.280350693
2-propen-1-ol,OCC=C,1.279004962
iso-propanol,CC(C)O,1.274157849
2-butyl_alcohol,CCC(C)O,1.271841607
ethyl_methyl_ketone,CCC(C)=O,1.267289089
ethylmethylketone,CCC(C)=O,1.267171728
mek,CCC(C)=O,1.267171728
phenol_formaldehyde,Oc1ccccc1.C=O,1.267171728
propanal,CCC=O,1.267171728
methylethylketone,CCC(C)=O,1.264817823
isopropyl_alcohol,CC(C)O,1.263043983
2-butanone,CCC(C)=O,1.26245109
2-propyl_alcohol,CC(C)O,1.26245109
i-propanol,CC(C)O,1.26245109
isopropanol,CC(C)O,1.26245109
butanone,CCC(C)=O,1.261262869
cyclohexanone,O=C1CCCCC1,1.260071388
methyl_ethyl_ketone,CCC(C)=O,1.260071388
benzaldehyde,O=Cc1ccccc1,1.25791845
n-propylammonium_nitrate,CCC[NH3+].[O-][N+]([O-])=O,1.257678575
isobutyl_alcohol,CC(C)CO,1.255634266
1_4-dicyanobenzene,N#Cc1ccc(cc1)C#N,1.255272505
ggo,N[C@H]1CN(CCc2ccc3OCOc3c2)C(=O)C[C@@H]1c4cc(F)c(F)cc4F,1.255272505
propionaldehyde,CCC=O,1.255272505
propyl_alcohol,CCCO,1.255272505
butanol,CCCCO,1.250420002
methyl_propyl_ketone,CCCC(C)=O,1.249198357
isobutanol,CC(C)CO,1.247973266
valeronitrile,CCCCC#N,1.247973266
n-butyl_alcohol,CCCCO,1.246867722
n-butanol,CCCCO,1.245512668
pentane-1_2-diol,CCCC(O)CO,1.244771761
butan-1-ol,CCCCO,1.243038049
butyl_alcohol,CCCCO,1.243038049
cyclopentanol,OC1CCCC1,1.242913947
1-butanol,CCCCO,1.241795431
acetophenone,CC(=O)c1ccccc1,1.240549248
hexanenitrile,CCCCCC#N,1.237040791
2-methoxy_ethanol,COCCO,1.235528447
2me,CCOC,1.235528447
2-methylpropan-2-ol,CC(C)(C)O,1.23299611
diethylketone,CCC(=O)CC,1.230448921
2-methoxyethanol,COCCO,1.228400359
lmt,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,1.227243782
2-methyl-1-propanol,CC(C)CO,1.224791956
3-pentanone,CCC(=O)CC,1.224791956
diethyl_ketone,CCC(=O)CC,1.220631019
sec-butyl_alcohol,CCC(C)O,1.217483944
cis,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[S](O)(=O)=O)[C@H]1O)[C@H](O)CCCCCCCCCCCCCCC,1.204119983
ethylacetoacetate,CCCC(=O)CC([O-])=O,1.204119983
2-butanol,CCC(C)O,1.202488317
i-butanol,CC(C)CO,1.200836824
anisaldehyde,COc1ccc(C=O)cc1,1.198657087
tetraglycol,OCCOCCOCCOCCO,1.195899652
hoch2ch2oh,OCCO,1.193958978
ccc,CCC,1.193124598
diethyl_sulfite,CCO[S](=O)OCC,1.193124598
2-methyl-1-butanol,CCC(C)CO,1.192428055
1_2-hexanediol,CCCCC(O)CO,1.190331698
hexane-1_2-diol,CCCCC(O)CO,1.190331698
mct,Cc1ccc(O)c(O)c1,1.190331698
propiophenone,CCC(=O)c1ccccc1,1.190331698
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,1.190331698
tween_20,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.190331698
tween_40,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.190331698
2-pentanone,CCCC(C)=O,1.188928484
tert-amyl_alcohol,CCC(C)(C)O,1.188647296
ethyl_lactate,CCOC(=O)C(C)O,1.187520721
diacetone_alcohol,CC(=O)CC(C)(C)O,1.186956335
isoamyl-alcohol,CC(C)CCO,1.184691431
3-methyl-1-butanol,CC(C)CCO,1.181557774
iso-butanol,CC(C)CO,1.178976947
1–pentanol,CCCCCO,1.176091259
benzonitrile-isooctane,CCCCCC(C)C.N#Cc1ccccc1,1.176091259
butyl_methacrylate,CCCCOC(=O)C(C)=C,1.176091259
cyclo-hexanol,OC1CCCCC1,1.176091259
cyclohexanol,OC1CCCCC1,1.176091259
diethylene_glycol_monomethyl_ether,COCCOCCO,1.176091259
lactone,Cc1oc2c(C)c3OC(=O)C=C(C)c3cc2c1,1.176091259
pentanol,CCCCCO,1.170261715
isoamyl_alcohol,CC(C)CCO,1.167317335
2-hexanone,CCCCC(C)=O,1.163161375
acrylonitrile_butadiene,C=CC=C.C=CC#N,1.161368002
cinnamylalcohol,OCC=Cc1ccccc1,1.161368002
dfb,OCc1cccc(F)c1F,1.155336037
9-cyano-phenanthrene-trans-anethole,COc1ccc(\C=C\C)cc1.N#Cc2cc3ccccc3c4ccccc24,1.146128036
aibn,CC(C)(N=NC(C)(C)C#N)C#N,1.146128036
nonanenitrile,CCCCCCCCC#N,1.146128036
pyruvate,CC(=O)C([O-])=O,1.146128036
saquinavir,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(N)=O)NC(=O)c4ccc5ccccc5n4,1.146128036
tween_60,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.146128036
n-pentanol,CCCCCO,1.143639235
1-pentanol,CCCCCO,1.1430148
amyl_alcohol,CCCCCO,1.1430148
pentan-1-ol,CCCCCO,1.1430148
salicylaldehyde,Oc1ccccc1C=O,1.1430148
diaminoethane,CC(N)N,1.139879086
octanenitrile,CCCCCCCC#N,1.138302698
hexan-1-ol,CCCCCCO,1.135132651
2-phenylethanol,OCCc1ccccc1,1.133538908
occn,NCCO,1.133538908
cyclopentanone,O=C1CCCC1,1.13289977
tween_80,CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.130333768
ethylammonium_nitrate,CC[NH3+].[O-][N+]([O-])=O,1.127104798
triethylphosphate,CCO[P](=O)(OCC)OCC,1.127104798
cinnamaldehyde,O=CC=Cc1ccccc1,1.123851641
hexanol,CCCCCCO,1.123198075
hexane-ethanol,CCO.CCCCCC,1.120409395
n-hexanol,CCCCCCO,1.119420863
isopropyl_acetate,CC(C)OC(C)=O,1.118925753
4-methyl-2-pentanone,CC(C)CC(C)=O,1.117602692
methyl-iso-butyl_ketone,CC(C)CC(C)=O,1.117602692
methyl_isobutyl_ketone,CC(C)CC(C)=O,1.117602692
methyl_isobutylketone,CC(C)CC(C)=O,1.117602692
methylisobutyl_ketone,CC(C)CC(C)=O,1.117602692
methylisobutylketone,CC(C)CC(C)=O,1.117602692
mibk,CC(C)CC(C)=O,1.117602692
benzyl_alcohol,OCc1ccccc1,1.117271296
benzylalcohol,OCc1ccccc1,1.117271296
ch3cl,CCl,1.117271296
hexone,CC(C)CC(C)=O,1.117271296
keto_azoxybenzene,[O-][N+](=NC1C=CC=CC1=O)c2ccccc2,1.117271296
phenylmethanol,OCc1ccccc1,1.117271296
