MOLECULE_NAME,SMILES,logEpsilon_minus_1
phenylmethanol,OCc1ccccc1,1.08278537
1-ethanol,CCO,1.081887139
1-hexanol,CCCCCCO,1.079181246
vanillyl_alcohol,COc1cc(CO)ccc1O,1.079181246
pyridine,c1ccncc1,1.075911761
ethylene-diamine,NCCN,1.075546961
ethylenediamine,NCCN,1.075546961
ethyl_benzoylacetate,CCOC(=O)CC(=O)c1ccccc1,1.071882007
dien,NCCNCCN,1.065579715
transcutol,CCOCCOCCO,1.064457989
heptanone,CCCCCC(C)=O,1.06069784
phosphotyrosine,N[C@@H](Cc1ccc(O[P](O)(O)=O)cc1)C(O)=O,1.06069784
triazole,[nH]1ccnn1,1.06069784
2-methyl-2-propanol,CC(C)(C)O,1.060131
tba,CCCC[N+](CCCC)(CCCC)CCCC,1.059563418
peg_400,OCCO,1.056904851
tert-butanol,CC(C)(C)O,1.056904851
benzeneethanol,OCCc1ccccc1,1.053462605
cysteamine,NCCS,1.053078443
ethyl_propionate,CCOC(=O)CC,1.053078443
2-octanone,CCCCCCC(C)=O,1.045322979
heptan-1-ol,CCCCCCCO,1.045322979
durene,Cc1cc(C)c(C)cc1C,1.044618146
2-pentanol,CCCC(C)O,1.04453976
mellitene,Cc1c(C)c(C)c(C)c(C)c1C,1.044226077
glycolate,OCC([O-])=O,1.04316572
3-methyl-2-butanol,CC(C)C(C)O,1.042969073
m-cresol,Cc1cccc(O)c1,1.041392685
triton_x-100,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,1.041392685
benzenepropanol,OCCCc1ccccc1,1.040206628
4-methylpyridine,Cc1ccncc1,1.039810554
2-heptanone,CCCCCC(C)=O,1.039414119
mnt,CNc1ccccc1C(=O)O[C@H]2C[C@@H](O[C@@H]2CO[P](O)(=O)O[P](O)(O)=O)n3cnc4c(N)ncnc34,1.039414119
t-butyl_alcohol,CC(C)(C)O,1.029383778
3-pentanol,CCC(O)CC,1.023663918
heptanol,CCCCCCCO,1.022222105
dap,Nc1cccc(N)n1,1.021189299
phenol,Oc1ccccc1,1.017033339
polyethylene_glycol,OCCO,1.017033339
o-dianisidine,COc1cc(ccc1N)c2ccc(N)c(OC)c2,1.012837225
octan-1-ol,CCCCCCCCO,1.012837225
hexane-acetone,CCCCCC.CC(C)=O,1.012626351
tert-butyl_alcohol,CC(C)(C)O,1.008600172
2-hexanol,CCCCC(C)O,1.004321374
aea,CCCCC/C=C\C\C=C/C/C=C\C\C=C/CCCC(=O)NCCO,1
benzene_acetonitrile,CC#N.c1ccccc1,1
t-butanol,CC(C)(C)O,0.995635195
benzylbenzene,C(c1ccccc1)c2ccccc2,0.99056083
diphenyl,c1ccc(cc1)c2ccccc2,0.989672248
bibenzyl,C(Cc1ccccc1)c2ccccc2,0.988335956
3-methylpyridine,Cc1cccnc1,0.98721923
decanenitrile,CCCCCCCCCC#N,0.982271233
1-heptanol,CCCCCCCO,0.980480606
cetane,CCCCCCCCCCCCCCCC,0.978773784
ethylene_dichloride,ClCCCl,0.977723605
methylcyclopentane,CC1CCCC1,0.977380606
pentamethylene,C1CCCC1,0.977014441
ethylcyclobutane,CCC1CCC1,0.976922851
ethylcyclopropane,CCC1CC1,0.976189439
triptane,CC(C)C(C)(C)C,0.976120618
3oh,OCCC(O)=O,0.975282422
1_2_dichloroethane,ClCCCl,0.974741905
1_2-dichloro-ethane,ClCCCl,0.973127854
1_2-dichloro_ethane,ClCCCl,0.973127854
1_2-dichloroethane,ClCCCl,0.973127854
clch2ch2cl,C.Cl.CCl,0.973127854
dce,ClCCCl,0.973127854
neopentane,CC(C)(C)C,0.97254995
dichloroethane,CC(Cl)Cl,0.972202838
3-methylbutan-2-one,CC(C)C(C)=O,0.971739591
2-furoylfluoride_dichloroethane,CC(Cl)Cl.FC(=O)c1occc1,0.971275849
ch2c1ch2c1,C.CCC,0.971275849
des,CC\C(c1ccc(O)cc1)=C(\CC)c2ccc(O)cc2,0.970811611
1-octanol,CCCCCCCCO,0.968482949
dichloro_methane,ClCCl,0.968482949
n-octanol,CCCCCCCCO,0.968482949
octanol,CCCCCCCCO,0.968482949
3-phenylpropanol,OCCCc1ccccc1,0.966141733
butyl_carbitol,CCCCOCCOCCO,0.963787827
ethylene_chloride,ClCCCl,0.963787827
dcb,Clc1ccccc1Cl,0.96118371
2-dichlorobenzene,Clc1ccccc1Cl,0.959994838
1_1-dichloroethane,CC(Cl)Cl,0.954242509
2-naphthol,Oc1ccc2ccccc2c1,0.954242509
ammonium_salicylate,[NH4+].Oc1ccccc1C([O-])=O,0.954242509
blue_line,[H+].[Cl-].CN(C)CCN(Cc1sccc1)c2ccccn2,0.954242509
cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.954242509
ctma,CONC(=O)COc1ccc(Cl)cc1C,0.954242509
mlm,NC(=O)CC(O)=O,0.954242509
pentanal,CCCCC=O,0.954242509
pteridine,c1cnc2ncncc2n1,0.954242509
quinine,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@H]4CCN3C[C@@H]4C=C)c2c1,0.954242509
thip,O=C1NOC2=C1CCNC2,0.954242509
tpq,N[C@@H](CC1=CC(=O)C(=O)C=C1O)C([O-])=O,0.954242509
odcb,Clc1ccccc1Cl,0.953759692
o-dichlorobenzene,Clc1ccccc1Cl,0.953276337
1_2-dichlorobenzene,Clc1ccccc1Cl,0.950851459
2-chloro-2-methylpropane,CC(C)(C)Cl,0.949390007
dichlorobenzene,Clc1ccccc1Cl,0.949390007
nylon_66,CCCCCCNC(=O)CCCCC(N)=O,0.947605249
pnp,Oc1ccc(cc1)[N+]([O-])=O,0.944482672
polyepichlorohydrin,O\C=C/CCl,0.944482672
2-heptanol,CCCCCC(C)O,0.940516485
dca,CCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)n2cnc3c(N)ncnc23,0.934498451
gsh,NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O,0.934498451
2-butoxyethanol,CCCCOCCO,0.929418926
hexanal,CCCCCC=O,0.929418926
2-methylpyridine,Cc1ccccn1,0.927370363
tert-butyl_chloride,CC(C)(C)Cl,0.927370363
2_4-dimethylpyridine,Cc1ccnc(C)c1,0.925312091
3_4-dichlorotoluene,Cc1ccc(Cl)c(Cl)c1,0.923761961
atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.922725458
phenol_red,Oc1ccc(cc1)C2(O[S](=O)(=O)c3ccccc23)c4ccc(O)cc4,0.915135907
benzotrifluoride,FC(F)(F)c1ccccc1,0.913813852
mc,Cc1ccc2cc3c(ccc4ccccc34)c5CCc1c25,0.908485019
methylene_chloride,ClCCl,0.907411361
quinoline,c1ccc2ncccc2c1,0.907411361
azo,CO\C=C(C(=O)OC)/c1ccccc1Oc2cc(Oc3ccccc3C#N)ncn2,0.903089987
methyl_salicylate,COC(=O)c1ccccc1O,0.903089987
tco,CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1,0.903089987
phenyl_isocyanate,O=C=Nc1ccccc1,0.899820502
ace,CC(N)=O,0.899273187
dichloromethane,ClCCl,0.899273187
methylene_dichloride,ClCCl,0.899273187
dichloro-methane,ClCCl,0.897627091
nonan-1-ol,CCCCCCCCCO,0.893761762
nonanol,CCCCCCCCCO,0.893761762
dch,C1CCC(CC1)NC2CCCCC2,0.892094603
dppc,Cl[P](=O)(Oc1ccccc1)Oc2ccccc2,0.892094603
decan-1-ol,CCCCCCCCCCO,0.889301703
stearic_acid,CCCCCCCCCCCCCCCCCC(O)=O,0.889301703
tbep,CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC,0.886490725
dimethyl_phthalate,COC(=O)c1ccccc1C(=O)OC,0.88422877
p-cresol,Cc1ccc(O)cc1,0.883661435
tetrahydrothiophene,C1CCSC1,0.881384657
1_6-dichlorohexane,ClCCCCCCCl,0.880813592
dmp,[H+].[H+].[Cl-].[Cl-].COC(=N)CCCCCC(=N)OC,0.880813592
octanal,CCCCCCCC=O,0.880813592
1-chloro-n-propane,CCCCl,0.880241776
4-cyano-4-pentylbiphenyl,CCCCCC1(CC=C(C=C1)c2ccccc2)C#N,0.879669206
ethyl_formate,CCOC=O,0.87909588
2_2-dimethyl-1-propanol,CC(C)(C)CO,0.866287339
2-ethoxyethyl_acetate,CCOCCOC(C)=O,0.86332286
5-nonanone,CCCCC(=O)CCCC,0.86332286
pgmea,COCC(C)OC(C)=O,0.86332286
propylene_glycol_monomethyl_ether_acetate,COCC(C)OC(C)=O,0.86332286
2-octanol,CCCCCCC(C)O,0.857332496
tributyl_phosphate,CCCCO[P](=O)(OCCCC)OCCCC,0.856009504
tributylphosphate,CCCCO[P](=O)(OCCCC)OCCCC,0.856009504
2-chlorobutane,CCC(C)Cl,0.853454841
6-undecanone,CCCCCC(=O)CCCCC,0.84509804
decanol,CCCCCCCCCCO,0.84509804
polypyrrole,[NH2+]1C=CC=C1,0.84509804
pyrrole,[nH]1cccc1,0.84509804
tbp,CCCCO[P](=O)(OCCCC)OCCCC,0.84509804
hcfc-141b,CC(F)(Cl)Cl,0.838849091
n-decanol,CCCCCCCCCCO,0.838849091
tetraglyme,COCCOCCOCCOCCOC,0.838849091
diethylmalonate,CCC(CC)(C([O-])=O)C([O-])=O,0.836956737
diethyl_phthalate,CCOC(=O)c1ccccc1C(=O)OCC,0.836324116
tetrachloroethane,ClCC(Cl)(Cl)Cl,0.835690571
ehma,CCOc1cc(ccc1O)C(O)C(O)=O,0.832508913
1-decanol,CCCCCCCCCCO,0.826074803
isobutylmethyl_ketone,CC(C)CC(C)=O,0.82445127
deta,CCN(CC)C(=O)c1cccc(C)c1,0.823474229
2-ethyl-1-hexanol,CCCCC(CC)CO,0.820267157
cyclohexyl_chloride,ClC1CCCCC1,0.819543936
methylene_blue,[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C,0.819543936
nonanal,CCCCCCCCC=O,0.819543936
polyethylene_oxide,OCCO,0.819543936
2-furoylfluoride_tetrahydrofuran,FC(=O)c1occc1.C2CCOC2,0.818225894
diox,[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)[S]([O-])(=O)=O,0.818225894
tetrahydrofuran,C1CCOC1,0.818225894
tetrahydrofurane,C1CCOC1,0.818225894
thf,C1CCOC1,0.818225894
diethyl_malonate,CCOC(=O)CC(=O)OCC,0.8162413
cellobiose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,0.812913357
hfc-134a,FCC(F)(F)F,0.812913357
triglyme,COCCOCCOCCOC,0.812913357
cmtd,CCCCCCCCCCCCCCSCC(O)=O,0.812244697
morpholine,C1COCCN1,0.807535028
benzotrichloride,ClC(Cl)(Cl)c1ccccc1,0.806179974
butyl_chloride,CCCCCl,0.805500858
n-butyl_chloride,CCCCCl,0.805500858
1-chlorobutane,CCCCCl,0.802089258
labetalol,CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(N)=O,0.80140371
1_2-dimethoxy_ethane,COCCOC,0.799340549
glyme,COCCOC,0.799340549
1_1_2-trichloroethane,ClCC(Cl)Cl,0.797959644
ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,0.797959644
1_1_1-trichloroethane,CC(Cl)(Cl)Cl,0.796018969
diglyme,COCCOCCOC,0.794488047
1_1_1-trichloro-ethane,CC(Cl)(Cl)Cl,0.792391689
1_2-dimethoxyethane,COCCOC,0.792391689
2-ethylhexanol,CCCCC(CC)CO,0.792391689
dimethoxyethane,COCCOC,0.792391689
dme,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.792391689
rubrene,c1ccc(cc1)c2c3ccccc3c(c4ccccc4)c5c(c6ccccc6)c7ccccc7c(c8ccccc8)c25,0.792391689
2_6-dimethylpyridine,Cc1cccc(C)n1,0.790285164
phenylhydrazine,NNc1ccccc1,0.788875116
dol,CCN(CC)CC[S](=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@H](C(C)C)[C@H](C)\C=C/C(=O)NC/C=C\C(=C/[C@@H](O)CC(=O)Cc3occ(n3)C2=O)C,0.785329835
3-heptanol,CCCCC(O)CC,0.783188691
2_6-lutidine,Cc1cccc(C)n1,0.77815125
polyurethane,OCCO.OCCCCO.OC(=O)CCCCC(O)=O.O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,0.77815125
rso,C1O[C@@H]1c2ccccc2,0.77815125
tac,CN(C)C1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)\O)C1=O,0.77815125
tannin,Oc1cc(cc(O)c1O)C(=O)Oc2cc(cc(O)c2O)C(=O)OC[C@H]3O[C@@H](OC(=O)c4cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c4)[C@H](OC(=O)c6cc(O)c(O)c(OC(=O)c7cc(O)c(O)c(O)c7)c6)[C@@H](OC(=O)c8cc(O)c(O)c(OC(=O)c9cc(O)c(O)c(O)c9)c8)[C@@H]3OC(=O)c%10cc(O)c(O)c(OC(=O)c%11cc(O)c(O)c(O)c%11)c%10,0.77815125
dn,Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,0.774516966
tegdme,COCCOCCOCCOC,0.774516966
monoglyme,COCCOC,0.771807879
thioethanol,CCS,0.771734425
benzyl_dichloride,ClC(Cl)c1ccccc1,0.770852012
ethyl_sulfide,CCSCC,0.770852012
phenyl_acetate,CC(=O)Oc1ccccc1,0.770852012
tcp,Oc1cc(Cl)c(Cl)cc1Cl,0.770852012
urethane,CCOC(N)=O,0.770852012
aniline,Nc1ccccc1,0.770115295
benzyl_chloride,ClCc1ccccc1,0.767452718
4-methyl-1_3-dioxolane,CC1COCO1,0.763427994
decanal,CCCCCCCCCC=O,0.763427994
1-nonanol,CCCCCCCCCO,0.760799312
methyl_benzoate,COC(=O)c1ccccc1,0.758911892
1_10-dichlorodecane,ClCCCCCCCCCCCl,0.754348336
benzoxazine,N1Oc2ccccc2C=C1,0.754348336
benzyl_bromide,BrCc1ccccc1,0.752662943
triacetin,CC(=O)OCC(COC(C)=O)OC(C)=O,0.752048448
1-chloropentane,CCCCCCl,0.748188027
gps,N[C@@H](CCC(=O)N[C@@H](CS[C@@H]1[C@@H](O)c2ccccc2c3ccccc13)C(=O)NCC(O)=O)C(O)=O,0.748188027
glycerol_triacetate,CC(=O)OCC(COC(C)=O)OC(C)=O,0.744684063
lactose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,0.744292983
dibutyl_phthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,0.737987326
heptylbenzene,CCCCCCCc1ccccc1,0.735997884
dbp,CCCCOC(=O)c1ccccc1C(=O)OCCCC,0.73239376
dpb,c1ccc(cc1)\C=C\C=C\c2ccccc2,0.73239376
cycloheptane,C1CCCCCC1,0.726360389
ethylamine,CCN,0.72427587
cbs,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O,0.720159303
2-methyltetrahydrofuran,CC1CCCO1,0.719331287
acetic_acid,CC(O)=O,0.716003344
aceticacid,CC(O)=O,0.716003344
c2d,Clc1ccc2scc(CNCCN3C(=CN=C(NCCc4ccccn4)C3=O)Cl)c2c1,0.716003344
ethanoic_acid,CC(O)=O,0.716003344
glacial_acetic_acid,CC(O)=O,0.716003344
methyl_propionate,CCC(=O)OC,0.716003344
1-iodobutane,CCCCI,0.713490543
missile,CCOC(=O)c1cn2nc(O[P](=S)(OCC)OCC)cc2nc1C,0.713490543
tic,[Cl].O=C(Nc1ccc(cc1)C2=NCCN2)c3ccc(cc3)C(=O)Nc4ccc(cc4)C5=NCCN5,0.709100282
1-chlorohexane,CCCCCCCl,0.707570176
acetic_ether,CCOC(C)=O,0.707570176
tricresyl_phosphate,Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,0.707570176
ch3cooh,CCOO,0.706290957
methyl_propanoate,CCC(=O)OC,0.705667038
dox,[Cl-].COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO.[H+],0.704150517
ethyl_acetate,CCOC(C)=O,0.700703717
ethylacetate,CCOC(C)=O,0.700703717
diethyleneglycol-monobutylether_acetate,CCCCOCCOCCOC(C)=O,0.698970004
dimethylacetoacetamide,CC(C)C(=O)CC(N)=O,0.698970004
dipentyl_phthalate,CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,0.698970004
dmc,CC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,0.698970004
ethyl_benzoate,CCOC(=O)c1ccccc1,0.698970004
gallic_acid,OC(=O)c1cc(O)c(O)c(O)c1,0.698970004
cpi,OC(=O)[C@@H]1CCCCN1,0.697229343
allyl_amine,NCC=C,0.694605199
isobutyl_benzoate,CC(C)COC(=O)c1ccccc1,0.69019608
n-allyl-n-methyl-p-nitroaniline,CN(CC=C)c1ccc(cc1)[N+]([O-])=O,0.69019608
piperidine,C1CCNCC1,0.69019608
quercetin,Oc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccc(O)c(O)c3)O,0.69019608
tert-pentyl_alcohol,CCC(C)(C)O,0.683047038
2-dodecanol,CCCCCCCCCCC(C)O,0.681241237
diethylene_glycol_dimethyl_ether,COCCOCCOC,0.681241237
n-propylamine,CCCN,0.681241237
pada,CN(C)c1ccc(cc1)N=Nc2ccccn2,0.681241237
diethyl_sulfide,CCSCC,0.673941999
2-methyl-2-butanol,CCC(C)(C)O,0.672559628
dodecanol,CCCCCCCCCCCCO,0.672097858
et,CC[n+]1c2cc(N)ccc2c3ccc(N)cc3c1c4ccccc4,0.672097858
furan,o1cccc1,0.672097858
acrylate_glycidyl_methacrylate,CC(=C)C(=O)OCC1CO1.OC(=O)C=C,0.669316881
tetrahydropyran,C1CCOCC1,0.668385917
chlorobenzene,Clc1ccccc1,0.664735969
tropine,CN1C2CCC1CC(O)C2,0.664641976
iso_amyl_acetate,CC(C)CCOC(C)=O,0.662757832
tetrahydropyrane,C1CCOCC1,0.662757832
n-propyl_acetate,CCCOC(C)=O,0.655138435
propyl_ethanoate,CCCOC(C)=O,0.655138435
2-decanol,CCCCCCCCC(C)O,0.653212514
caffeic_acid,OC(=O)\C=C/c1ccc(O)c(O)c1,0.653212514
dioxane–acetonitrile,N#CCC1COCCO1,0.653212514
polyacrylonitrile,C=CC#N,0.653212514
tmba,CC(=O)N(CCCCN)C(C)=O,0.653212514
methyl_butyrate,CCCC(=O)OC,0.651278014
fluorobenzene,Fc1ccccc1,0.650307523
dioxan,C1COCCO1,0.644930708
bromobenzene,Brc1ccccc1,0.643452676
butylthioether,CCCCSCCCC,0.643452676
isoamyl_salicylate,CC(C)CCOC(=O)c1ccccc1O,0.643452676
isopropylamine,CC(C)N,0.643452676
phenylacetate,[O-]C(=O)Cc1ccccc1,0.643452676
1-pentanamine,CCCCCN,0.639486489
1-undecanol,CCCCCCCCCCCO,0.63748973
diisopropyl_adipate,CC(C)OC(=O)CCCCC(=O)OC(C)C,0.63748973
ethyl_phenylacetate,CCOC(=O)Cc1ccccc1,0.633468456
isoamyl_acetate,CC(C)CCOC(C)=O,0.633468456
rpa,CC(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C(CO)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/CCCC(C)(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.633468456
glycine,NCC(O)=O,0.62324929
mbba,CCCCc1ccc(cc1)N=Cc2ccc(OC)cc2,0.62324929
benzylamine,NCc1ccccc1,0.621176282
c–c,CC,0.620380316
amyl_benzoate,CCCCCOC(=O)c1ccccc1,0.612783857
butyl_lactate,CCCCOC(=O)C(C)O,0.612783857
dioctyl_phthalate,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0.612783857
dioctylphthalate,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0.612783857
dop,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,0.612783857
ethyl_butyrate,CCCC(=O)OCC,0.612783857
thiol–ene,C1CC=[SH]C1,0.612783857
cyclohexyl_acetate,CC(=O)OC1CCCCC1,0.610660163
butyl_acetate,CCCCOC(C)=O,0.609594409
pentyl_benzoate,CCCCCOC(=O)c1ccccc1,0.609594409
1-chloronaphthalene,Clc1cccc2ccccc12,0.606381365
isobutyl_acetate,CC(C)COC(C)=O,0.606273853
ethyl_acryl_ate,CCOC(=O)C=C,0.604226053
n-butyl_acetate,CCCCOC(C)=O,0.604226053
ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(O)=O,0.60260252
1-butylamine,CCCCN,0.602059991
acrylate_1_6-hexanediol_diacrylate,OCCCCCCO.OC(=O)C=C.OC(=O)C=C.OC(=O)C=C,0.602059991
ametryn,CCNc1nc(NC(C)C)nc(SC)n1,0.602059991
butyl-acetate,CCCCOC(C)=O,0.602059991
deha,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0.602059991
dhp,CCCCCCCCCCC1=C(O)NC(=O)C1=O,0.602059991
dopp,CCCCCCCCO[P](=O)(OCCCCCCCC)c1ccccc1,0.602059991
thz,s1cnc2ccccc12,0.602059991
vinyl_acetate,CC(=O)OC=C,0.602059991
water-octanol,O.CCCCCCCCO,0.602059991
butyl_ethanoate,CCCCOC(C)=O,0.600972896
1-dodecanol,CCCCCCCCCCCCO,0.598243192
1-butanamine,CCCCN,0.591064607
2-furoylfluoride_chloroform,FC(=O)c1occc1.ClC(Cl)Cl,0.591064607
arlacel_83,CCCCCCCC\C=C/CCCCCCCC(O)=O.CCCCCCCC\C=C/CCCCCCCC(O)=O.CCCCCCCC\C=C/CCCCCCCC(O)=O.OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.591064607
arylamine,Nc1ccccc1,0.591064607
bromoethane,CCBr,0.591064607
span_80,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,0.591064607
pentyl_cinnamate,CCCCCOC(=O)C=Cc1ccccc1,0.589949601
butyl_propionate,CCCCOC(=O)CC,0.584331224
3-phenylpropanal,O=CCCc1ccccc1,0.579783597
amyl_acetate,CCCCCOC(C)=O,0.579783597
benzyl_benzoate,O=C(OCc1ccccc1)c2ccccc2,0.579783597
dbs,Oc1ccc(Br)cc1C(=O)C(=O)c2cc(Br)ccc2O,0.579783597
tris2-ethylhexylphosphate,CCCCC(CC)CO[P](=O)(OCC(CC)CCCC)OCC(CC)CCCC,0.579783597
taurine,NCC[S](O)(=O)=O,0.5774918
phenyl_propanoate,CCC(=O)Oc1ccccc1,0.57634135
atorvastatin,CC(C)c1n(CC[C@@H](O)C[C@@H](O)CC(O)=O)c(c2ccc(F)cc2)c(c3ccccc3)c1C(=O)Nc4ccccc4,0.575187845
1_2-dibromoethane,BrCCBr,0.574031268
cyclohexylamine,NC1CCCCC1,0.571708832
pentyl_ethanoate,CCCCCOC(C)=O,0.571673901
c60,CCCCNC(=O)[C@@H](CC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2[nH]cnc2)NC(=O)[C@H](Cc3ccccc3)C[S](=O)(=O)C(C)(C)C)C(C)C,0.567614443
1-pentanethiol,CCCCCS,0.564666064
polysorbate_80,CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,0.564666064
phenanthrene,c1ccc2c(c1)ccc3ccccc23,0.559308011
butylamine,CCCCN,0.558708571
oil_red_o,O=C\1C=Cc2ccccc2C1=N/Nc3ccc(cc3)N=Nc4ccccc4,0.557507202
iodobenzene,Ic1ccccc1,0.555094449
1-chloro-n-decane,CCCCCCCCCCCl,0.553883027
thioanisole,CSc1ccccc1,0.549003262
2-amino-5-chloropyridine,Nc1ccc(Cl)cn1,0.544068044
chlorodecane,CCCCCCCCCCCl,0.544068044
di-octyl_terephthalate,CCCCCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCCCCC,0.544068044
dibutyl_sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,0.544068044
